age,address,famsize,reason,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,freetime,goout,health,absences,G1,G2,G3
18,U,GT3,course,2,0,yes,no,no,no,yes,no,no,3,4,3,6,25,30,30
17,U,GT3,course,2,0,no,yes,no,no,yes,yes,no,3,3,3,4,25,25,30
15,U,LE3,other,2,3,yes,no,yes,no,yes,yes,no,3,2,3,10,35,40,50
15,U,GT3,home,3,0,no,yes,yes,yes,yes,yes,yes,2,2,5,2,75,70,75
16,U,GT3,home,2,0,no,yes,yes,no,yes,no,no,3,2,5,4,30,50,50
16,U,LE3,reputation,2,0,no,yes,yes,yes,yes,yes,no,4,2,5,10,75,75,75
16,U,LE3,home,2,0,no,no,no,no,yes,yes,no,4,4,3,0,60,60,55
17,U,GT3,home,2,0,yes,yes,no,no,yes,no,no,1,4,1,6,30,25,30
15,U,LE3,home,2,0,no,yes,yes,no,yes,yes,no,2,2,1,0,80,90,95
15,U,GT3,home,2,0,no,yes,yes,yes,yes,yes,no,5,1,5,0,70,75,75
15,U,GT3,reputation,2,0,no,yes,yes,no,yes,yes,no,3,3,2,0,50,40,45
15,U,GT3,reputation,3,0,no,yes,no,yes,yes,yes,no,2,2,4,4,50,60,60
15,U,LE3,course,1,0,no,yes,yes,yes,yes,yes,no,3,3,5,2,70,70,70
15,U,GT3,course,2,0,no,yes,yes,no,yes,yes,no,4,3,3,2,50,50,55
15,U,GT3,home,3,0,no,yes,no,no,yes,yes,yes,5,2,3,0,70,80,80
16,U,GT3,home,1,0,no,yes,no,no,yes,yes,no,4,4,2,4,70,70,70
16,U,GT3,reputation,3,0,no,yes,yes,yes,yes,yes,no,2,3,2,6,65,70,70
16,U,GT3,reputation,2,0,yes,yes,no,yes,yes,no,no,3,2,4,4,40,50,50
17,U,GT3,course,1,3,no,yes,no,yes,yes,yes,no,5,5,5,16,30,25,25
16,U,LE3,home,1,0,no,no,yes,yes,yes,yes,no,1,3,5,4,40,50,50
15,U,GT3,reputation,2,0,no,no,no,no,yes,yes,no,4,1,1,0,65,70,75
15,U,GT3,other,1,0,no,yes,yes,no,yes,yes,no,4,2,5,0,60,75,75
16,U,LE3,course,2,0,no,no,no,yes,yes,yes,no,5,1,5,2,75,75,80
16,U,LE3,reputation,2,0,no,yes,no,yes,yes,yes,no,4,4,5,0,65,65,60
15,R,GT3,course,3,0,yes,yes,yes,yes,yes,yes,no,3,2,5,2,50,45,40
16,U,GT3,home,1,2,no,yes,yes,no,yes,yes,no,2,2,5,14,30,45,40
15,U,GT3,home,1,0,no,yes,yes,no,yes,yes,no,2,2,5,2,60,60,55
