G2,G3
30,30
25,30
40,50
70,75
50,50
75,75
60,55
25,30
90,95
75,75
40,45
60,60
70,70
50,55
80,80
70,70
70,70
50,50
25,25
50,50
70,75
75,75
75,80
65,60
45,40
45,40
60,55
80,75
55,55
60,55
55,60
80,85
80,80
50,60
70,75
35,30
80,90
80,75
60,55
65,65
50,55
60,60
90,90
40,55
50,45
40,30
60,55
95,100
75,70
35,35
65,65
65,65
55,50
50,55
65,65
45,50
75,75
75,75
50,45
80,80
55,55
40,55
50,45
45,45
50,50
75,75
65,60
35,30
45,40
80,80
75,75
50,50
30,25
60,70
60,55
45,50
55,50
55,55
40,50
25,25
60,60
50,55
30,30
75,75
50,50
45,40
35,30
70,70
50,50
30,35
35,40
85,90
30,30
50,50
65,70
50,50
75,75
45,50
70,70
45,40
35,25
85,85
65,70
30,30
90,90
55,55
40,40
90,90
65,65
75,80
95,95
50,50
65,65
95,95
45,45
75,80
65,70
70,65
35,40
65,65
75,75
70,75
65,65
55,65
35,40
65,60
50,55
40,45
20,0
90,90
0,0
0,0
65,60
55,55
0,0
0,0
0,0
0,0
60,60
80,75
45,0
45,45
55,55
70,65
0,0
55,55
35,0
55,55
30,0
45,50
25,0
65,70
50,50
0,0
55,60
40,40
60,65
40,50
75,75
60,60
30,0
45,35
0,0
50,50
40,35
55,60
50,50
75,80
35,0
70,70
25,0
75,80
55,50
35,0
55,45
45,45
65,55
25,30
40,45
50,55
40,40
65,60
85,85
45,40
65,60
60,55
60,55
75,75
35,45
45,50
60,65
40,45
40,40
45,50
70,70
75,75
75,80
45,50
90,90
45,50
80,80
50,50
45,50
30,30
50,55
45,45
35,35
60,65
45,50
35,35
40,40
60,65
65,70
35,40
50,50
75,75
30,20
30,40
35,40
50,50
30,30
25,0
80,85
65,65
65,70
40,35
75,75
55,60
40,45
50,60
65,70
55,55
45,45
65,65
35,30
45,50
65,65
60,60
55,55
35,0
60,60
55,60
0,0
60,60
0,0
90,90
60,65
40,40
25,25
75,75
40,40
50,50
45,40
45,40
60,60
45,40
60,65
55,55
70,70
45,0
90,90
40,40
60,60
45,45
50,0
85,85
45,50
50,55
45,50
0,0
45,45
70,70
55,55
70,70
50,50
60,60
45,45
45,45
40,40
55,50
40,40
45,50
60,60
45,50
45,55
50,55
90,95
60,60
70,70
65,75
55,55
75,75
60,65
90,90
65,70
60,55
45,0
40,40
65,70
75,80
50,55
55,50
60,70
85,90
70,65
60,60
90,90
45,40
60,60
50,50
45,0
60,65
55,55
50,55
65,65
55,55
40,0
50,45
55,50
55,55
65,65
45,45
55,55
70,75
75,75
60,55
75,80
50,50
45,45
70,70
40,40
70,70
0,0
40,0
45,0
75,75
65,65
40,0
75,85
50,50
60,55
50,0
75,75
40,0
50,50
65,70
75,80
50,45
75,75
65,65
35,40
65,65
35,40
40,40
55,55
45,45
65,65
60,55
50,50
80,80
65,65
60,60
55,50
75,75
55,60
50,50
65,65
30,0
50,50
60,55
35,45
60,60
55,55
25,25
90,95
40,50
70,75
45,50
75,75
50,50
70,70
30,35
55,50
25,0
25,25
45,50
25,30
25,0
45,40
25,0
45,45
80,80
40,35
60,50
45,45
